Id,Player,PER_avg,GP_avg,Seasons
Livinsh01,Shaun Livingston,-9.068223616449552,3.1666666666666665,6
Hughela01,Larry Hughes,-9.08909573978221,4.0,5
Greenda02,Danny Green,-9.161204368410209,3.5555555555555554,9
Wardch01,Charlie Ward,-9.960489579546469,4.25,4
Russebr01,Bryon Russell,-10.161524832668999,5.333333333333333,6
Inglejo01,Joe Ingles,-10.640625039726293,3.2,5
Linje01,Jeremy Lin,-11.748503386859458,3.5,2
Cartean01,Anthony Carter,-14.452414400970307,3.3333333333333335,3
Poseyja01,James Posey,-14.70906220573392,3.5,6
Princta01,Tayshaun Prince,-14.839561790994027,5.857142857142857,7
Divacvl01,Vlade Divac,-15.508806310918999,4.75,4
Craigto01,Torrey Craig,-16.038712049485955,4.0,2
Foxri01,Rick Fox,-16.712582985337974,3.6666666666666665,6
Jacksre01,Reggie Jackson,-16.995187102468464,4.0,2
Kiddja01,Jason Kidd,-18.8130221795561,5.0,11
Martike01,Kenyon Martin,-19.71154658947356,4.2727272727272725,11
Curryse01,Seth Curry,-25.175853096982365,4.333333333333333,3
Pavloal01,Sasha Pavlovic,-26.337142387741437,4.333333333333333,3
Vanvlfr01,Fred VanVleet,-26.337731427470374,4.666666666666667,3
Kukocto01,Toni Kukoc,-29.08407939419603,5.6,5
Bibbymi01,Mike Bibby,-29.646809255082253,3.1,10
Cookda02,Daequan Cook,-31.936590935374195,4.0,1
Jacksst02,Stephen Jackson,-32.54362275438773,3.857142857142857,7
Williaa01,Aaron Williams,-37.03041159908364,4.333333333333333,3
Grantbr01,Brian Grant,-44.05696585445165,3.75,4
Billuch01,Chauncey Billups,-49.55561075205308,4.7,10
Eliema01,Mario Elie,-52.270542717868786,4.25,4
Garneke01,Kevin Garnett,-56.61240506257495,4.769230769230769,13
Jefferi01,Richard Jefferson,-58.241126935247394,3.5,10
Robinda01,David Robinson,-63.137505977177796,4.333333333333333,6
Barrybr01,Brent Barry,-63.584173959874605,3.2,5
