Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Darrell Arthur,MEM,23,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5
Evan Turner,PHI,22,2,1,1,1.8,1.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,100,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
Gilbert Arenas,ORL,29,2,0,2,1.4,1.5,0.5,1.0,50.0,0.0,0.0,0.0,0.5,0.5,100,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.5,-1.5
Glen Davis,BOS,25,2,2,0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.0
Jared Jeffries,NYK,29,2,0,2,1.7,1.0,0.5,0.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,1.0,-4.0
Jodie Meeks,PHI,23,2,0,2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-2.0
Josh McRoberts,IND,24,2,1,1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Kurt Thomas,CHI,38,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-2.5
Marvin Williams,ATL,25,2,2,0,1.1,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4.0
Metta World Peace,LAL,31,2,0,2,2.6,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,-5.0
Mike Bibby,MIA,33,2,2,0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Nicolas Batum,POR,22,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
