Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Tim Hardaway Jr.,NYK,23,18,5,13,1.0,0.8,0.3,0.4,62.5,0.1,0.3,40.0,0.2,0.2,75.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.6
Cory Joseph,SAS,23,17,7,10,0.9,0.4,0.1,0.1,100,0.0,0.0,0.0,0.2,0.4,57.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,-0.1
Dante Exum,UTA,19,17,7,10,1.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.4
Derrick Rose,CHI,26,17,13,4,1.3,1.1,0.3,1.1,26.3,0.1,0.4,14.3,0.4,0.4,100,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.1,1.7
Jared Dudley,MIL,29,17,9,8,1.2,0.4,0.1,0.4,33.3,0.1,0.3,40.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.0,0.0,0.1,0.1
Jason Smith,NYK,29,17,8,9,1.7,0.5,0.1,0.4,33.3,0.0,0.1,0.0,0.3,0.4,83.3,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.1,0.9
Kobe Bryant,LAL,36,17,7,10,2.1,2.4,0.8,2.3,33.3,0.2,0.5,37.5,0.6,0.9,68.8,0.0,0.4,0.4,0.2,0.0,0.1,0.0,0.1,-0.5
Luc Mbah a Moute,PHI,28,17,6,11,2.1,0.2,0.1,0.3,20.0,0.0,0.1,0.0,0.1,0.2,33.3,0.0,0.3,0.3,0.1,0.1,0.1,0.1,0.1,-0.8
Luis Scola,IND,35,17,10,7,1.1,0.3,0.1,0.2,33.3,0.0,0.0,0.0,0.2,0.2,75.0,0.1,0.5,0.5,0.0,0.1,0.0,0.0,0.1,-0.2
Nick Young,LAL,30,17,8,9,1.7,0.7,0.1,0.4,16.7,0.1,0.2,33.3,0.5,0.6,90.0,0.0,0.2,0.2,0.0,0.0,0.1,0.0,0.2,0.2
O.J. Mayo,MIL,27,17,6,11,1.3,0.5,0.2,0.4,42.9,0.1,0.1,100,0.1,0.1,100,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.1,-1.4
Richard Jefferson,DAL,35,17,12,5,0.7,0.5,0.1,0.2,66.7,0.1,0.1,100,0.2,0.3,60.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.7
Robert Covington,PHI,24,17,7,10,2.1,0.8,0.2,0.5,37.5,0.1,0.3,40.0,0.3,0.5,62.5,0.1,0.2,0.4,0.1,0.1,0.1,0.1,0.2,-0.4
Stephen Curry,GSW,27,17,13,4,1.9,2.7,0.6,1.4,41.7,0.2,0.5,33.3,1.4,1.4,95.8,0.0,0.2,0.2,0.1,0.2,0.1,0.0,0.1,1.5
