Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Phoenix Suns,29,13,16,2.0,4.6,1.5,3.9,39.3,0.2,0.8,30.4,1.3,1.6,82.6,0.7,1.2,1.9,0.3,0.3,0.3,0.2,1.2,-0.4,103.13
New York Knicks,28,13,15,2.2,5.1,1.9,4.4,42.6,0.4,1.0,42.9,0.9,1.2,76.5,0.8,1.3,2.0,0.8,0.4,0.3,0.2,1.3,0.0,100.12
San Antonio Spurs,28,19,9,2.1,5.1,1.5,3.8,38.3,0.5,1.4,36.8,1.6,2.3,73.0,0.5,1.4,1.9,0.8,0.5,0.5,0.1,1.0,0.8,109.21
Orlando Magic,27,12,15,1.6,3.6,1.1,2.6,43.7,0.2,0.7,25.0,1.1,1.5,75.0,0.3,1.1,1.5,0.5,0.4,0.1,0.1,1.1,-0.4,109.33
Detroit Pistons,26,10,16,2.0,4.4,1.5,3.9,38.6,0.5,1.5,30.0,1.0,1.3,71.4,0.8,1.1,1.9,0.5,0.2,0.1,0.3,1.3,-1.4,101.02
Houston Rockets,26,15,11,1.8,3.8,1.0,3.3,31.4,0.4,1.8,23.4,1.3,1.8,70.8,0.6,1.5,2.1,0.6,0.5,0.3,0.2,1.1,-0.4,107.93
Utah Jazz,26,15,11,1.9,4.3,1.5,3.2,45.8,0.4,1.1,39.3,1.0,1.2,83.9,0.4,1.3,1.7,1.0,0.5,0.2,0.4,0.8,0.7,100.9
Los Angeles Lakers,25,9,16,1.9,3.9,1.2,2.6,45.5,0.3,1.1,25.0,1.2,1.7,69.8,0.3,1.2,1.4,0.5,0.3,0.2,0.2,1.3,-1.7,98.11
Denver Nuggets,24,9,15,1.8,4.3,1.2,3.3,36.7,0.3,0.9,27.3,1.6,2.3,70.4,0.5,1.5,2.0,0.8,0.6,0.3,0.2,1.4,0.0,117.59
Cleveland Cavaliers,23,15,8,1.7,4.8,1.5,3.2,47.9,0.8,1.7,50.0,0.9,1.3,70.0,0.4,1.0,1.4,1.0,0.5,0.3,0.0,0.8,1.5,105.34
LA Clippers,22,11,11,1.7,3.9,1.3,3.0,41.8,0.4,1.1,32.0,1.0,1.4,67.7,0.5,1.0,1.5,0.6,0.8,0.4,0.1,1.0,-0.1,114.14
Golden State Warriors,17,8,9,2.0,4.6,1.5,3.8,39.1,0.4,1.6,21.4,1.3,1.5,84.6,0.5,1.3,1.8,0.9,0.5,0.4,0.4,1.1,0.5,98.33
