Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
New York Knicks,32,13,19,1.9,4.5,1.2,2.8,42.9,0.1,0.3,20.0,2.0,2.5,78.8,0.3,1.0,1.3,0.4,0.7,0.2,0.2,1.6,-1.2,112.39
Miami Heat,31,18,13,1.8,4.4,1.3,3.1,40.6,0.3,1.0,26.7,1.6,2.1,76.9,0.6,1.3,1.9,0.7,0.3,0.3,0.2,0.8,1.0,96.73
Orlando Magic,31,12,19,2.0,3.5,1.0,2.9,35.6,0.1,0.5,20.0,1.3,1.7,76.9,0.6,1.3,1.9,0.4,0.3,0.2,0.3,1.3,-1.4,96.64
Seattle SuperSonics,31,15,16,1.8,3.7,1.1,2.7,39.3,0.4,1.2,30.6,1.2,1.5,84.4,0.6,0.8,1.4,0.5,0.6,0.2,0.4,1.3,-0.6,98.12
New Orleans/Oklahoma City Hornets,30,22,8,2.2,5.5,1.7,3.6,47.7,0.2,0.7,35.0,1.8,2.2,83.1,0.7,1.1,1.7,0.8,0.3,0.3,0.1,0.6,2.5,88.44
Sacramento Kings,30,17,13,1.7,4.1,1.1,2.9,39.1,0.4,0.8,50.0,1.4,1.9,73.7,0.5,1.2,1.8,0.8,0.3,0.2,0.2,0.9,0.7,103.4
Denver Nuggets,29,17,12,2.4,4.9,1.3,3.8,35.1,0.3,0.9,34.6,1.9,2.5,77.8,0.7,1.5,2.2,0.8,0.7,0.4,0.4,1.2,0.8,97.23
Los Angeles Clippers,29,16,13,1.8,4.6,1.3,2.7,49.4,0.3,0.6,56.3,1.7,2.0,86.0,0.3,1.3,1.6,0.9,0.4,0.1,0.3,1.2,0.9,103.14
Phoenix Suns,29,12,17,1.7,3.4,1.1,2.8,38.3,0.1,0.7,15.0,1.1,1.4,82.5,0.4,1.5,1.9,0.6,0.3,0.2,0.2,1.2,-0.1,98.89
San Antonio Spurs,29,22,7,1.6,4.4,1.2,2.8,43.8,0.2,0.4,41.7,1.8,2.2,84.1,0.5,1.4,1.9,0.6,0.6,0.3,0.2,1.0,1.1,112.94
Utah Jazz,29,18,11,1.9,5.2,1.4,3.1,44.4,0.3,0.7,50.0,2.1,2.6,80.3,0.7,1.5,2.2,0.9,0.7,0.1,0.3,1.4,1.4,105.96
New Jersey Nets,28,20,8,1.6,4.7,1.1,2.9,37.0,0.3,0.8,34.8,2.3,3.0,77.1,0.8,1.1,1.9,0.5,0.4,0.2,0.1,1.2,1.2,121.23
Detroit Pistons,27,18,9,2.0,5.6,1.9,3.9,47.6,0.4,1.3,31.4,1.5,2.1,71.4,0.8,1.1,2.0,1.0,0.3,0.4,0.4,1.0,1.6,98.65
