Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Minnesota Timberwolves,34,20,14,2.1,4.2,1.2,3.1,38.5,0.4,0.5,66.7,1.5,2.0,75.4,0.4,1.2,1.6,0.9,0.6,0.2,0.4,1.3,0.3,98.73
Charlotte Hornets,32,16,16,2.0,4.0,1.0,2.6,40.2,0.3,0.5,47.1,1.7,2.1,79.4,0.4,1.4,1.8,0.7,0.3,0.4,0.2,1.0,0.4,91.88
New Jersey Nets,32,12,20,1.7,3.4,1.1,2.6,40.5,0.1,0.7,19.0,1.2,1.5,77.6,0.4,0.7,1.2,0.5,0.6,0.4,0.2,1.3,-0.8,107.23
Philadelphia 76ers,32,20,12,1.9,4.1,1.2,3.4,36.1,0.2,0.9,16.7,1.5,2.1,73.1,0.6,1.2,1.8,0.4,0.4,0.4,0.2,0.9,1.1,100.18
Toronto Raptors,32,16,16,1.5,3.1,0.8,2.7,31.8,0.2,0.6,26.3,1.2,1.5,83.0,0.6,1.2,1.7,0.4,0.2,0.3,0.2,0.8,0.3,105.44
Utah Jazz,32,19,13,1.8,3.9,1.0,2.7,38.8,0.2,0.7,33.3,1.6,2.0,78.5,0.4,1.1,1.6,0.8,0.5,0.2,0.1,1.2,0.3,102.65
New York Knicks,31,17,14,1.9,2.8,0.9,2.8,32.6,0.3,0.9,28.6,0.7,1.0,76.7,0.4,1.1,1.5,0.5,0.5,0.3,0.2,1.1,-0.6,95.18
Washington Wizards,31,10,21,1.8,3.6,1.0,2.5,40.5,0.1,0.5,18.8,1.4,1.6,86.3,0.4,1.1,1.5,0.5,0.5,0.3,0.2,1.4,-0.8,101.09
Atlanta Hawks,30,12,18,1.9,3.5,1.1,3.0,36.7,0.2,0.6,41.2,1.0,1.3,79.5,0.7,1.1,1.8,0.6,0.6,0.3,0.1,1.3,-0.5,94.88
Cleveland Cavaliers,30,15,15,1.7,3.6,1.1,2.7,42.0,0.1,0.3,20.0,1.3,1.7,74.5,0.5,0.9,1.4,0.6,0.3,0.2,0.2,1.3,0.0,103.18
Detroit Pistons,30,12,18,1.7,3.1,0.9,2.4,35.6,0.2,0.7,35.0,1.2,1.9,61.4,0.6,1.1,1.7,0.4,0.5,0.3,0.2,0.9,-0.4,99.57
Chicago Bulls,29,9,20,1.8,3.6,1.2,2.7,43.0,0.1,0.6,25.0,1.1,1.4,73.8,0.5,1.2,1.7,0.9,0.5,0.2,0.2,1.4,-0.7,98.04
Dallas Mavericks,28,14,14,1.6,3.6,1.1,2.9,40.0,0.2,0.6,29.4,1.1,1.5,78.0,0.4,0.8,1.2,0.5,0.2,0.2,0.1,1.4,-0.4,106.93
Portland Trail Blazers,28,12,16,1.8,3.4,1.1,2.5,45.7,0.2,0.5,40.0,0.9,1.3,68.6,0.3,0.9,1.2,0.8,0.5,0.3,0.2,1.1,-0.7,95.18
Golden State Warriors,26,8,18,1.8,3.1,0.8,2.5,31.8,0.1,0.3,25.0,1.4,1.8,78.3,0.4,1.0,1.5,0.6,0.5,0.3,0.3,1.1,-1.3,99.49
Milwaukee Bucks,26,18,8,1.9,5.0,1.5,3.3,45.3,0.2,0.6,33.3,1.8,2.3,79.7,0.7,1.3,2.0,0.8,0.7,0.3,0.3,1.1,1.8,105.74
Vancouver Grizzlies,26,6,20,1.9,3.4,0.9,3.0,29.5,0.2,0.5,38.5,1.5,1.7,88.4,0.5,1.3,1.7,0.5,0.5,0.2,0.2,1.7,-1.7,100.43
San Antonio Spurs,24,8,16,2.1,3.8,1.1,2.8,38.2,0.3,0.7,41.2,1.4,2.2,63.5,0.3,1.4,1.7,0.7,0.5,0.4,0.2,1.0,-0.5,100.6
