Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Houston Rockets,33,17,16,1.6,3.4,0.9,2.8,33.3,0.2,0.7,25.0,1.3,1.9,69.8,0.5,1.0,1.5,0.4,0.3,0.4,0.2,0.7,0.5,101.69
New Jersey Nets,32,14,18,1.9,3.9,1.2,3.1,39.8,0.4,1.0,42.4,1.0,1.3,80.5,0.5,1.2,1.8,0.5,0.7,0.3,0.3,1.6,-0.7,104.69
New Orleans Hornets,32,21,11,1.9,5.2,1.5,3.0,49.5,0.4,0.8,50.0,1.8,2.1,82.4,0.7,1.2,1.8,0.8,0.4,0.2,0.2,1.1,1.2,100.03
Oklahoma City Thunder,32,14,18,1.9,3.6,1.2,3.0,40.6,0.2,0.5,29.4,1.0,1.5,67.3,0.6,1.3,1.9,0.7,0.6,0.3,0.3,0.9,-0.5,103.17
Orlando Magic,32,24,8,1.8,4.3,1.0,2.5,40.0,0.4,1.0,42.4,1.9,2.7,70.6,0.3,1.5,1.8,0.6,0.5,0.1,0.3,1.2,0.8,108.8
Washington Wizards,32,10,22,1.6,2.9,1.0,2.4,41.6,0.2,0.5,41.2,0.7,1.1,64.7,0.5,1.2,1.7,0.4,0.6,0.2,0.3,1.0,-1.3,99.38
Los Angeles Lakers,31,22,9,1.7,5.0,1.6,3.4,48.6,0.5,1.2,38.9,1.3,1.5,81.3,0.5,1.1,1.6,0.6,0.4,0.2,0.1,1.0,1.9,103.99
Dallas Mavericks,30,20,10,2.0,4.9,1.6,3.5,45.3,0.4,1.1,37.5,1.3,1.7,74.5,0.6,1.4,2.1,0.8,0.5,0.4,0.3,1.0,1.5,101.75
Golden State Warriors,30,11,19,1.6,3.6,1.0,2.6,37.7,0.1,0.4,25.0,1.6,1.9,82.5,0.5,0.9,1.3,0.3,0.4,0.3,0.2,1.2,-0.8,113.43
Portland Trail Blazers,30,19,11,2.1,4.8,1.5,3.6,40.7,0.2,0.7,23.8,1.7,2.2,77.3,1.0,1.4,2.4,0.5,0.3,0.3,0.2,1.2,1.1,97.44
Sacramento Kings,30,5,25,1.8,3.0,0.9,3.1,29.3,0.1,0.8,17.4,1.1,1.3,80.0,0.4,1.3,1.7,0.4,0.6,0.2,0.3,1.9,-1.8,114.1
Memphis Grizzlies,29,10,19,1.8,3.4,0.9,2.9,32.1,0.2,0.9,24.0,1.3,1.6,83.0,0.6,0.8,1.4,0.4,0.6,0.3,0.3,1.2,-1.0,96.88
Toronto Raptors,29,12,17,1.7,3.3,1.0,2.5,41.7,0.2,0.6,33.3,1.0,1.4,75.0,0.3,1.2,1.5,0.5,0.4,0.2,0.4,0.8,-0.3,99.16
Los Angeles Clippers,27,8,19,2.1,3.2,1.0,3.0,32.9,0.3,1.0,28.6,0.9,1.3,73.5,0.3,1.1,1.4,0.6,0.7,0.2,0.1,1.6,-2.0,98.92
Utah Jazz,27,13,14,1.8,4.4,1.4,3.1,44.7,0.3,0.8,31.8,1.4,1.6,84.1,0.6,1.3,1.9,0.9,0.6,0.1,0.3,1.2,0.1,110.29
Phoenix Suns,26,15,11,2.0,4.7,1.4,3.1,44.4,0.3,1.0,29.6,1.6,1.9,85.7,0.4,1.3,1.7,0.7,0.4,0.2,0.2,0.7,0.6,96.33
Denver Nuggets,25,14,11,2.2,5.1,1.4,3.3,41.5,0.4,1.0,36.0,2.0,2.7,74.6,0.6,1.1,1.6,0.8,0.6,0.4,0.2,2.0,-0.9,106.81
Cleveland Cavaliers,20,14,6,1.8,5.3,1.6,3.3,47.7,0.7,1.4,48.1,1.6,1.9,83.8,0.4,1.2,1.5,0.9,0.3,0.3,0.3,1.2,1.9,107.29
