Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
LA Clippers,30,20,10,1.5,3.9,1.2,2.6,45.6,0.3,0.8,41.7,1.2,1.6,72.9,0.3,1.2,1.5,0.5,0.4,0.1,0.1,0.8,0.9,112.32
Washington Wizards,30,12,18,1.8,4.5,1.5,3.3,45.9,0.5,1.5,34.1,1.0,1.2,88.6,0.4,1.0,1.4,1.0,0.5,0.3,0.4,1.3,0.0,113.57
Minnesota Timberwolves,29,12,17,2.1,3.9,1.4,3.8,37.3,0.3,1.2,25.7,0.8,1.2,61.1,0.9,1.2,2.2,0.7,0.7,0.4,0.3,1.4,-1.6,104.5
Golden State Warriors,28,16,12,1.7,4.4,1.3,3.1,41.9,0.6,1.4,41.0,1.3,1.7,76.6,0.5,1.6,2.1,0.7,0.5,0.2,0.2,0.9,1.6,115.36
Chicago Bulls,27,12,15,2.0,3.6,1.2,3.3,37.1,0.3,1.0,32.1,0.8,1.1,70.0,0.4,1.2,1.6,0.5,0.7,0.1,0.3,1.1,-1.2,106.93
New York Knicks,27,9,18,1.6,3.6,0.9,2.2,41.7,0.3,1.0,30.8,1.4,1.8,79.2,0.5,1.1,1.6,0.4,0.4,0.1,0.2,0.9,-1.1,111.89
Phoenix Suns,27,10,17,1.8,4.2,1.5,3.2,46.5,0.3,1.0,32.1,0.9,1.1,82.8,0.4,1.1,1.5,0.7,0.4,0.3,0.4,1.2,-1.1,110.57
Portland Trail Blazers,27,15,12,1.7,5.1,1.6,3.6,44.8,0.6,1.3,44.1,1.3,1.9,72.0,0.5,1.1,1.6,0.8,0.2,0.3,0.2,1.0,0.5,109.72
Atlanta Hawks,26,16,10,2.1,5.1,1.8,3.8,47.0,0.3,1.3,23.5,1.2,1.6,73.8,0.5,1.6,2.0,0.9,0.5,0.5,0.3,1.2,1.0,116.15
Indiana Pacers,26,15,11,1.6,4.4,1.4,2.8,50.0,0.5,1.1,46.4,1.0,1.3,79.4,0.4,0.9,1.3,0.7,0.5,0.3,0.2,0.7,1.0,112.86
Cleveland Cavaliers,21,11,10,1.6,4.0,1.5,3.3,44.9,0.4,1.0,42.9,0.7,0.9,77.8,0.5,1.5,2.0,0.5,0.3,0.2,0.0,1.0,0.8,106.35
Utah Jazz,19,8,11,1.9,4.5,1.4,3.5,39.4,0.3,1.5,20.7,1.4,1.9,73.0,0.8,1.2,2.1,0.5,0.7,0.3,0.2,1.4,0.4,110.18
