Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
San Antonio Spurs,28,10,18,1.5,2.4,0.6,2.6,24.7,0.1,0.8,8.7,1.1,1.3,83.3,0.6,1.0,1.6,0.3,0.5,0.2,0.2,1.5,-1.2,110.52
Atlanta Hawks,26,13,13,2.0,4.0,1.3,3.8,33.0,0.2,1.0,23.1,1.2,1.3,88.6,0.8,1.2,2.0,0.5,0.4,0.3,0.2,1.2,-0.3,96.11
Los Angeles Lakers,26,17,9,2.0,4.0,1.2,3.5,35.6,0.2,0.8,27.3,1.3,1.8,74.5,0.6,1.3,1.8,0.4,0.5,0.2,0.1,1.5,0.0,104.37
Denver Nuggets,25,15,10,2.0,5.5,1.6,3.4,47.1,0.5,1.2,43.3,1.8,2.2,78.6,0.6,1.3,2.0,0.8,0.4,0.2,0.2,1.5,1.2,100.39
Indiana Pacers,24,9,15,1.3,2.5,0.8,2.1,36.0,0.2,0.6,28.6,0.8,1.1,76.9,0.2,0.9,1.1,0.3,0.2,0.2,0.2,0.9,-0.1,96.17
Minnesota Timberwolves,24,8,16,1.9,3.5,1.3,3.2,40.3,0.1,0.7,18.8,0.8,1.1,76.9,0.6,1.2,1.8,0.6,0.4,0.3,0.1,1.3,0.0,95.78
Los Angeles Clippers,23,14,9,2.1,4.2,1.2,2.9,41.8,0.3,1.2,25.9,1.5,2.1,70.8,0.6,1.4,2.0,0.8,0.8,0.4,0.2,0.9,1.1,96.73
Utah Jazz,23,12,11,1.9,3.7,1.1,3.0,35.7,0.2,0.8,27.8,1.3,1.7,79.5,0.6,1.0,1.6,0.5,0.7,0.4,0.2,2.0,-1.0,106.11
New Jersey Nets,22,4,18,1.8,2.8,0.9,2.9,30.2,0.1,0.6,15.4,1.0,1.2,77.8,0.5,0.9,1.3,0.3,0.6,0.3,0.3,1.8,-2.8,110.37
Orlando Magic,22,12,10,1.9,4.7,1.4,3.1,43.5,0.4,1.3,28.6,1.6,2.2,73.5,0.5,1.2,1.7,0.4,0.5,0.2,0.1,0.8,0.5,101.49
