Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Miami Heat,30,15,15,1.8,3.5,1.2,3.1,38.0,0.3,1.1,27.3,0.9,1.2,75.0,0.3,1.1,1.4,0.5,0.6,0.2,0.1,0.9,0.0,100.5
Minnesota Timberwolves,30,11,19,2.1,4.3,1.4,3.5,41.3,0.4,0.8,45.8,1.1,1.5,71.1,0.7,1.3,2.0,0.8,0.6,0.3,0.3,1.8,-1.3,103.21
Brooklyn Nets,29,17,12,1.9,3.8,1.2,3.5,34.3,0.3,1.1,25.8,1.1,1.4,80.0,0.8,1.2,2.0,0.6,0.6,0.1,0.2,0.9,0.2,100.35
Houston Rockets,29,18,11,1.8,4.0,1.1,2.6,43.2,0.4,1.0,39.3,1.4,1.9,72.7,0.5,1.0,1.6,0.4,0.6,0.3,0.1,1.4,-0.2,102.54
San Antonio Spurs,29,14,15,1.8,4.4,1.2,3.1,40.0,0.3,1.0,34.5,1.6,2.2,71.4,0.5,1.2,1.7,1.0,0.4,0.3,0.3,1.1,0.6,104.66
Atlanta Hawks,27,19,8,1.4,3.4,1.1,2.2,50.0,0.3,0.9,34.8,0.9,1.0,85.2,0.1,1.0,1.1,0.8,0.4,0.2,0.1,0.7,1.0,100.71
Sacramento Kings,26,11,15,1.8,3.6,1.0,2.8,34.7,0.0,0.7,5.9,1.7,1.9,87.8,0.4,1.0,1.4,0.3,0.7,0.2,0.2,1.3,-0.5,107.37
Philadelphia 76ers,25,7,18,2.1,3.6,1.2,2.9,41.1,0.3,0.9,30.4,1.0,1.3,72.7,0.2,1.3,1.5,0.7,0.9,0.3,0.4,1.2,-0.8,103.01
Cleveland Cavaliers,24,16,8,1.9,3.8,1.0,3.3,30.8,0.3,1.1,30.8,1.5,1.8,79.5,0.7,1.2,1.9,0.4,0.5,0.1,0.1,1.0,0.6,94.68
Golden State Warriors,20,14,6,1.9,5.2,1.4,3.2,42.2,0.4,1.1,31.8,2.2,2.5,86.0,0.7,1.2,1.9,0.6,0.5,0.4,0.2,1.1,1.1,110.74
