Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Nik Stauskas,PHI,22,13,1,12,1.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.3,75.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.2,-0.7
Norris Cole,NOP,27,13,5,8,1.6,0.4,0.1,0.3,25.0,0.0,0.1,0.0,0.2,0.2,100.0,0.0,0.1,0.1,0.2,0.0,0.1,0.0,0.1,0.8
Ramon Sessions,WAS,30,13,7,6,1.4,0.2,0.1,0.3,25.0,0.1,0.2,50.0,0.0,0.0,0.0,0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.6
Tony Parker,SAS,34,13,8,5,2.3,1.7,0.8,1.3,58.8,0.2,0.2,66.7,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.2,0.0,0.0,0.1,1.2
Alex Len,PHX,23,12,4,8,1.4,0.5,0.3,0.4,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.7,0.0,0.0,0.0,0.2,0.4,-1.7
Donald Sloan,BKN,28,12,3,9,1.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,50.0,0.0,0.1,0.1,0.2,0.2,0.0,0.0,0.3,-2.2
Eric Bledsoe,PHX,26,12,3,9,2.2,1.6,0.3,1.5,22.2,0.0,0.3,0.0,0.9,1.3,73.3,0.1,0.1,0.2,0.5,0.2,0.2,0.1,0.3,-2.3
Kevin Martin,SAS,33,12,6,6,1.2,0.7,0.1,0.5,16.7,0.1,0.3,33.3,0.4,0.5,83.3,0.0,0.2,0.2,0.0,0.2,0.1,0.0,0.3,0.0
Markieff Morris,WAS,26,12,2,10,1.6,0.6,0.3,0.4,60.0,0.0,0.0,0.0,0.1,0.2,50.0,0.0,0.3,0.3,0.0,0.1,0.1,0.0,0.3,-2.2
Nemanja Bjelica,MIN,28,12,6,6,1.0,0.3,0.0,0.2,0.0,0.0,0.2,0.0,0.3,0.3,75.0,0.0,0.2,0.2,0.0,0.0,0.1,0.0,0.2,-0.7
Clint Capela,HOU,22,11,6,5,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,50.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,-0.5
D'Angelo Russell,LAL,20,11,4,7,1.6,0.9,0.4,0.6,57.1,0.2,0.3,66.7,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.1,0.0,0.0,0.1,-0.8
Dennis Schroder,ATL,22,11,3,8,1.6,1.0,0.3,0.5,50.0,0.1,0.3,33.3,0.4,0.5,80.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.2,-0.6
Ersan Ilyasova,ORL,29,11,6,5,2.2,0.8,0.1,0.5,20.0,0.0,0.2,0.0,0.6,1.0,63.6,0.3,0.1,0.4,0.0,0.0,0.1,0.0,0.5,0.9
Iman Shumpert,CLE,26,11,6,5,1.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.3,0.0,0.0,-0.2
Jonas Jerebko,BOS,29,11,5,6,0.4,0.2,0.1,0.5,20.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
Kirk Hinrich,ATL,35,11,7,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.5
Marcus Thornton,WAS,29,11,5,6,1.1,0.6,0.2,0.5,40.0,0.2,0.4,50.0,0.1,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3
Mario Chalmers,MIA,30,11,10,1,1.1,1.1,0.2,0.3,66.7,0.0,0.1,0.0,0.7,0.8,88.9,0.0,0.1,0.1,0.1,0.3,0.0,0.0,0.0,2.1
Tim Duncan,SAS,40,11,5,6,2.0,0.2,0.1,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.5,0.4,0.2,0.0,0.2,0.4,0.3
Tyreke Evans,NOP,26,11,5,6,2.7,0.8,0.2,0.7,25.0,0.0,0.3,0.0,0.5,0.8,55.6,0.0,0.6,0.6,0.5,0.1,0.1,0.1,0.3,-0.9
Andrew Bogut,GSW,31,10,8,2,1.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,50.0,0.2,0.4,0.6,0.0,0.1,0.0,0.0,0.1,-0.3
Ben McLemore,SAC,23,10,5,5,0.9,0.4,0.1,0.2,50.0,0.0,0.0,0.0,0.2,0.4,50.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,-0.2
Gary Neal,WAS,31,10,6,4,1.1,0.7,0.2,0.8,25.0,0.2,0.6,33.3,0.1,0.1,100.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.1,0.5
JaKarr Sampson,DEN,23,10,2,8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.2,-1.4
Jahlil Okafor,PHI,20,10,1,9,1.6,0.2,0.1,0.4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.1,-2.7
Joakim Noah,CHI,31,10,7,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.0,0.0,0.1,0.1,0.5
Kelly Olynyk,BOS,25,10,3,7,0.6,0.6,0.2,0.3,66.7,0.0,0.0,0.0,0.2,0.2,100.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,-0.8
Lance Stephenson,MEM,25,10,4,6,1.4,0.2,0.1,0.6,16.7,0.0,0.1,0.0,0.0,0.2,0.0,0.2,0.2,0.4,0.1,0.1,0.0,0.0,0.0,0.1
Luke Babbitt,NOP,27,10,4,6,0.5,0.9,0.2,0.3,66.7,0.0,0.1,0.0,0.5,0.5,100.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.2
Manu Ginobili,SAS,38,10,4,6,1.5,1.1,0.4,0.8,50.0,0.1,0.3,33.3,0.2,0.4,50.0,0.1,0.3,0.4,0.2,0.0,0.1,0.0,0.2,0.9
Shelvin Mack,UTA,26,10,2,8,1.8,0.9,0.3,0.7,42.9,0.2,0.4,50.0,0.1,0.2,50.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.5,-1.1
Toney Douglas,NOP,30,10,4,6,1.1,0.1,0.0,0.3,0.0,0.0,0.3,0.0,0.1,0.2,50.0,0.0,0.3,0.3,0.1,0.0,0.0,0.0,0.1,0.0
Tyson Chandler,PHX,33,10,4,6,1.8,0.8,0.4,0.7,57.1,0.0,0.0,0.0,0.0,0.1,0.0,0.8,0.3,1.1,0.0,0.2,0.1,0.0,0.6,-1.1
Alec Burks,UTA,24,9,3,6,1.8,0.4,0.2,0.6,40.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.3,-1.2
JaMychal Green,MEM,26,9,4,5,0.9,0.8,0.3,0.3,100.0,0.1,0.1,100.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,-0.8
Jeremy Lamb,CHA,24,9,5,4,1.3,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.1,0.0,0.0,0.0,0.1,-0.3
Jon Leuer,PHX,27,9,1,8,1.8,0.8,0.3,1.0,33.3,0.0,0.3,0.0,0.1,0.3,33.3,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,-2.2
Meyers Leonard,POR,24,9,4,5,0.7,0.2,0.1,0.4,25.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.1,-0.2
Nick Young,LAL,31,9,3,6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1,-0.1
O.J. Mayo,MIL,28,9,6,3,1.5,0.3,0.1,0.1,100.0,0.0,0.0,0.0,0.1,0.2,50.0,0.0,0.2,0.2,0.1,0.2,0.0,0.1,0.2,0.6
Raul Neto,UTA,24,9,5,4,0.9,0.1,0.0,0.2,0.0,0.0,0.2,0.0,0.1,0.1,100.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.2,0.4
Sasha Vujacic,NYK,32,9,4,5,1.7,0.4,0.0,0.6,0.0,0.0,0.4,0.0,0.4,0.4,100.0,0.0,0.3,0.3,0.0,0.1,0.1,0.0,0.2,-1.0
Willie Cauley-Stein,SAC,22,9,6,3,0.9,0.4,0.1,0.1,100.0,0.0,0.0,0.0,0.2,0.2,100.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0
D.J. Augustin,DEN,28,8,3,5,1.5,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,-2.0
Dwight Powell,DAL,24,8,4,4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5
Enes Kanter,OKC,24,8,4,4,1.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.3,-1.8
Frank Kaminsky,CHA,23,8,6,2,1.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,50.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.3
Jason Smith,ORL,30,8,4,4,2.0,0.6,0.3,0.6,40.0,0.1,0.1,100.0,0.0,0.0,0.0,0.3,0.1,0.4,0.0,0.1,0.1,0.0,0.3,0.0
John Henson,MIL,25,8,5,3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.1,0.1,0.3,-1.1
Justin Holiday,CHI,27,8,5,3,0.7,0.4,0.1,0.1,100.0,0.0,0.0,0.0,0.1,0.3,50.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,-0.1
Kevin Garnett,MIN,40,8,4,4,1.4,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.0,0.0,0.0,0.0,0.1,-1.1
Larry Nance Jr.,LAL,23,8,3,5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.3,-0.1
Mo Williams,CLE,33,8,4,4,1.2,1.0,0.1,0.3,50.0,0.0,0.1,0.0,0.8,0.8,100.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,2.5
Quincy Acy,SAC,25,8,5,3,1.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,100.0,0.1,0.4,0.5,0.0,0.0,0.0,0.3,0.1,0.6
Richard Jefferson,CLE,36,8,5,3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.1,0.9
Trey Lyles,UTA,20,8,3,5,0.6,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.8
Ty Lawson,IND,28,8,3,5,2.1,0.3,0.0,0.4,0.0,0.0,0.3,0.0,0.3,0.3,100.0,0.0,0.4,0.4,0.0,0.1,0.0,0.0,0.5,-1.0
Vince Carter,MEM,39,8,4,4,1.3,0.8,0.1,0.5,25.0,0.0,0.4,0.0,0.5,0.5,100.0,0.1,0.1,0.3,0.0,0.0,0.0,0.1,0.4,0.6
Aaron Brooks,CHI,31,7,4,3,2.1,1.1,0.4,0.9,50.0,0.1,0.6,25.0,0.1,0.1,100.0,0.0,0.3,0.3,0.1,0.0,0.0,0.0,0.4,-1.3
Charlie Villanueva,DAL,31,7,3,4,0.5,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.3
