Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Detroit Pistons,28,17,11,1.6,3.7,1.0,2.8,37.7,0.1,0.7,21.1,1.5,1.6,89.1,0.7,1.1,1.8,0.6,0.3,0.2,0.2,1.0,0.9
Memphis Grizzlies,28,11,17,2.1,4.8,1.6,3.4,46.3,0.4,1.2,30.3,1.3,1.9,66.0,0.5,1.1,1.6,0.7,0.9,0.2,0.2,1.9,-0.8
San Antonio Spurs,28,16,12,2.2,4.9,1.5,3.3,45.7,0.2,0.9,25.0,1.7,2.1,80.0,0.4,1.5,1.9,0.8,0.5,0.4,0.1,1.6,0.8
Boston Celtics,27,16,11,1.8,3.8,1.2,3.4,36.3,0.3,0.8,31.8,1.1,1.5,75.0,0.8,1.2,2.0,0.6,0.3,0.4,0.1,1.2,0.4
Los Angeles Clippers,27,11,16,1.6,3.6,1.0,2.3,44.3,0.2,0.6,29.4,1.4,1.7,80.4,0.3,0.9,1.2,0.6,0.3,0.1,0.2,1.0,-0.6
Los Angeles Lakers,27,14,13,2.0,4.4,1.2,3.2,38.4,0.1,0.6,12.5,1.9,2.6,74.3,0.6,1.2,1.9,0.6,0.7,0.4,0.2,1.4,-0.4
Minnesota Timberwolves,27,8,19,1.9,3.3,1.0,2.7,35.6,0.1,0.4,27.3,1.2,1.5,80.5,0.6,1.1,1.7,0.5,0.6,0.1,0.1,1.3,-1.1
Orlando Magic,26,14,12,1.8,4.2,1.0,3.2,32.9,0.4,1.3,30.3,1.7,2.2,78.9,0.5,1.4,1.9,0.6,0.4,0.3,0.2,1.3,0.4
Toronto Raptors,26,10,16,1.4,2.9,0.7,1.8,40.4,0.2,0.8,27.3,1.2,1.5,77.5,0.1,0.8,0.9,0.5,0.3,0.1,0.1,1.3,-1.3
Seattle SuperSonics,25,11,14,1.9,3.7,1.2,2.6,47.0,0.2,0.5,46.2,1.0,1.3,75.8,0.2,1.2,1.5,0.8,0.6,0.2,0.3,1.4,-1.1
Houston Rockets,23,12,11,2.1,4.0,1.0,3.1,33.3,0.3,1.0,33.3,1.6,2.3,68.5,0.8,1.1,1.9,0.7,0.7,0.3,0.1,1.5,-0.8
New Orleans Hornets,23,16,7,2.0,4.7,1.3,3.5,38.3,0.3,1.1,32.0,1.6,2.0,78.7,0.5,1.5,2.0,0.7,0.3,0.4,0.2,1.0,0.6
Utah Jazz,23,10,13,1.8,4.6,1.3,2.8,45.3,0.3,1.0,33.3,1.7,2.0,84.8,0.4,1.0,1.4,0.9,0.5,0.4,0.3,1.4,-0.1
