Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Milwaukee Bucks,33,10,23,1.7,3.3,0.8,2.8,29.7,0.2,0.7,34.8,1.4,1.8,78.0,0.5,1.1,1.6,0.4,0.4,0.2,0.3,0.9,-0.9
Los Angeles Clippers,32,18,14,1.7,3.8,1.1,2.7,40.2,0.2,0.7,33.3,1.4,1.9,72.6,0.3,1.3,1.6,0.4,0.3,0.3,0.3,1.0,0.4
Oklahoma City Thunder,32,18,14,2.0,4.6,1.2,3.4,34.5,0.5,1.2,38.5,1.8,2.1,83.8,0.6,1.8,2.3,0.5,0.3,0.2,0.3,1.4,0.4
Houston Rockets,31,19,12,1.8,4.2,1.2,3.1,37.5,0.3,0.8,30.8,1.6,2.3,70.8,0.7,1.2,2.0,0.5,0.7,0.4,0.2,1.0,0.3
Sacramento Kings,31,11,20,1.7,3.2,0.9,2.6,34.1,0.2,0.7,27.3,1.2,1.4,88.4,0.4,1.1,1.5,0.4,0.5,0.3,0.2,1.5,-1.1
Denver Nuggets,30,13,17,1.8,3.6,1.0,3.2,31.3,0.2,1.3,15.4,1.4,2.1,65.6,0.6,1.4,2.0,0.5,0.5,0.2,0.2,1.5,-0.4
Orlando Magic,30,10,20,1.8,3.4,1.0,3.0,34.8,0.1,0.7,15.0,1.2,1.5,78.3,0.3,1.3,1.6,0.5,0.5,0.3,0.1,1.3,-1.1
New York Knicks,29,11,18,2.1,4.2,1.2,3.4,34.3,0.4,1.4,30.0,1.4,1.7,85.7,0.7,1.1,1.9,0.6,0.7,0.5,0.3,1.2,0.3
Indiana Pacers,28,20,8,1.7,4.6,1.1,2.9,39.5,0.3,1.0,31.0,2.0,2.5,78.6,0.5,1.1,1.6,0.5,0.3,0.2,0.3,0.8,1.7
Detroit Pistons,26,9,17,1.7,2.5,0.7,3.0,24.1,0.2,1.0,16.0,0.9,1.3,69.7,0.5,0.9,1.4,0.2,0.6,0.2,0.3,0.9,-1.3
Philadelphia 76ers,25,13,12,1.6,3.8,1.2,2.5,46.8,0.2,0.6,33.3,1.2,1.9,66.0,0.3,1.1,1.4,0.8,0.4,0.3,0.2,0.9,0.4
Utah Jazz,25,15,10,1.9,4.7,1.5,3.0,50.7,0.4,0.7,50.0,1.3,1.6,80.5,0.3,1.4,1.7,0.6,0.9,0.3,0.3,1.5,0.4
Los Angeles Lakers,24,11,13,1.7,3.3,0.8,2.4,35.1,0.3,0.9,31.8,1.3,1.7,75.6,0.3,1.6,1.8,0.5,0.5,0.3,0.3,1.0,0.3
San Antonio Spurs,24,19,5,1.5,4.6,1.6,2.9,55.7,0.5,0.8,55.0,0.9,1.2,78.6,0.4,0.9,1.3,1.2,0.3,0.2,0.2,0.5,2.0
Chicago Bulls,23,12,11,2.2,3.8,1.2,3.4,34.2,0.3,0.9,33.3,1.1,1.5,74.3,0.6,1.3,1.9,0.7,0.8,0.3,0.3,1.2,0.1
